group	x	y	showSelected1
1	6030	24	651
1	6030	24	317
1	6030	24	128
1	6030	24	169
1	6030	24	65
1	6030	24	358
1	6030	24	687
1	6030	24	294
1	6030	24	290
1	6030	24	306
1	6030	24	692
1	6030	24	249
1	6030	24	574
1	6030	24	286
1	6030	24	416
1	6030	24	587
2	6080	24	358
2	6080	24	178
2	6080	24	40
2	6080	24	47
2	6080	24	65
2	6080	24	518
2	6080	24	254
2	6080	24	314
2	6080	24	625
2	6080	24	427
2	6080	24	357
2	6080	24	497
2	6080	24	161
2	6080	24	501
2	6080	24	321
2	6080	24	671
2	6080	24	353
2	6080	24	458
2	6080	24	392
2	6080	24	71
2	6080	24	536
2	6080	24	5
2	6080	24	347
2	6080	24	500
2	6080	24	172
2	6080	24	423
2	6080	24	291
2	6080	24	580
2	6080	24	483
2	6080	24	659
2	6080	24	748
2	6080	24	504
2	6080	24	681
2	6080	24	23
2	6080	24	675
2	6080	24	714
2	6080	24	716
2	6080	24	61
2	6080	24	583
2	6080	24	626
2	6080	24	593
2	6080	24	432
2	6080	24	142
2	6080	24	43
2	6080	24	594
2	6080	24	414
2	6080	24	127
2	6080	24	340
2	6080	24	538
2	6080	24	482
2	6080	24	384
2	6080	24	549
2	6080	24	563
2	6080	24	449
2	6080	24	223
2	6080	24	175
2	6080	24	311
2	6080	24	229
2	6080	24	292
2	6080	24	606
2	6080	24	420
2	6080	24	86
2	6080	24	81
2	6080	24	75
2	6080	24	422
2	6080	24	679
2	6080	24	399
2	6080	24	212
2	6080	24	713
2	6080	24	608
2	6080	24	711
2	6080	24	191
2	6080	24	198
2	6080	24	164
2	6080	24	151
2	6080	24	628
2	6080	24	262
2	6080	24	256
2	6080	24	13
2	6080	24	431
2	6080	24	685
2	6080	24	656
2	6080	24	440
2	6080	24	618
2	6080	24	26
2	6080	24	245
2	6080	24	232
2	6080	24	322
2	6080	24	36
2	6080	24	27
2	6080	24	677
2	6080	24	493
2	6080	24	751
2	6080	24	433
2	6080	24	680
2	6080	24	682
2	6080	24	534
2	6080	24	53
2	6080	24	77
2	6080	24	394
2	6080	24	568
3	6080	74	47
3	6080	74	57
3	6080	74	246
3	6080	74	30
3	6080	74	76
3	6080	74	434
3	6080	74	743
3	6080	74	5
3	6080	74	72
3	6080	74	510
3	6080	74	640
3	6080	74	593
3	6080	74	43
3	6080	74	252
6	6130	74	57
6	6130	74	52
6	6130	74	250
6	6130	74	2
6	6130	74	436
6	6130	74	30
6	6130	74	115
6	6130	74	220
6	6130	74	690
6	6130	74	237
6	6130	74	373
6	6130	74	183
6	6130	74	4
6	6130	74	8
6	6130	74	355
6	6130	74	74
6	6130	74	344
6	6130	74	101
6	6130	74	221
6	6130	74	225
6	6130	74	528
6	6130	74	527
6	6130	74	561
6	6130	74	526
6	6130	74	554
6	6130	74	206
6	6130	74	87
6	6130	74	5
6	6130	74	442
6	6130	74	457
6	6130	74	676
6	6130	74	43
6	6130	74	31
6	6130	74	443
6	6130	74	106
6	6130	74	252
6	6130	74	451
6	6130	74	592
6	6130	74	407
6	6130	74	371
6	6130	74	204
6	6130	74	736
6	6130	74	268
6	6130	74	718
6	6130	74	103
6	6130	74	535
6	6130	74	162
6	6130	74	421
6	6130	74	222
6	6130	74	617
6	6130	74	280
6	6130	74	712
6	6130	74	479
6	6130	74	158
6	6130	74	123
6	6130	74	635
6	6130	74	525
6	6130	74	533
6	6130	74	208
6	6130	74	242
6	6130	74	267
6	6130	74	719
6	6130	74	663
6	6130	74	417
6	6130	74	170
6	6130	74	20
6	6130	74	582
6	6130	74	579
6	6130	74	439
6	6130	74	689
6	6130	74	44
6	6130	74	609
6	6130	74	627
6	6130	74	104
6	6130	74	97
6	6130	74	664
6	6130	74	346
6	6130	74	637
6	6130	74	326
6	6130	74	277
6	6130	74	654
6	6130	74	721
5	6130	124	2
5	6130	124	684
5	6130	124	115
5	6130	124	153
5	6130	124	752
5	6130	124	180
5	6130	124	494
5	6130	124	225
5	6130	124	106
8	6180	124	115
8	6180	124	180
8	6180	124	470
8	6180	124	42
8	6180	124	49
8	6180	124	35
8	6180	124	113
8	6180	124	213
8	6180	124	452
8	6180	124	744
8	6180	124	612
8	6180	124	581
8	6180	124	658
8	6180	124	225
8	6180	124	122
8	6180	124	668
8	6180	124	456
8	6180	124	424
8	6180	124	34
8	6180	124	413
8	6180	124	67
8	6180	124	724
8	6180	124	263
8	6180	124	48
8	6180	124	363
8	6180	124	29
8	6180	124	489
8	6180	124	506
8	6180	124	106
8	6180	124	166
8	6180	124	477
8	6180	124	93
8	6180	124	657
8	6180	124	400
8	6180	124	141
8	6180	124	476
8	6180	124	499
8	6180	124	704
8	6180	124	571
8	6180	124	615
8	6180	124	329
8	6180	124	570
8	6180	124	553
8	6180	124	557
8	6180	124	511
8	6180	124	531
8	6180	124	239
8	6180	124	6
8	6180	124	567
8	6180	124	486
8	6180	124	739
