x	y	clickSelects	xmin	xmax	ymin	ymax
6030	24	6050,0	6005	6055	-1	49
6080	24	6100,0	6055	6105	-1	49
6080	74	6100,50	6055	6105	49	99
6130	74	6150,50	6105	6155	49	99
6130	124	6150,100	6105	6155	99	149
6180	124	6200,100	6155	6205	99	149
6130	24	6150,0	6105	6155	-1	49
6180	74	6200,50	6155	6205	49	99
6230	124	6250,100	6205	6255	99	149
6180	24	6200,0	6155	6205	-1	49
6230	74	6250,50	6205	6255	49	99
6230	24	6250,0	6205	6255	-1	49
6280	74	6300,50	6255	6305	49	99
6280	24	6300,0	6255	6305	-1	49
6330	24	6350,0	6305	6355	-1	49
