group	fill	clickSelects
2	#FFFFFF	27
3	#FFFFFF	534
4	#FFFFFF	175
5	#FFFFFF	175
6	#FFFFFF	175
7	#FFFFFF	175
8	#FFFFFF	440
9	#FFFFFF	440
10	#FFFFFF	440
11	#FFFFFF	440
12	#FFFFFF	175
13	#FFFFFF	175
14	#DA4F8B	53
15	#FFFFFF	175
16	#FFFFFF	431
17	#FFFFFF	175
18	#FFFFFF	431
19	#FFFFFF	431
20	#FFFFFF	357
21	#FFFFFF	357
22	#FFFFFF	311
23	#FFFFFF	357
24	#FFFFFF	357
25	#DA4F8B	53
26	#FFFFFF	357
27	#FFFFFF	357
28	#FFFFFF	357
29	#FFFFFF	357
30	#FFFFFF	357
31	#FFFFFF	449
32	#FFFFFF	357
33	#FFFFFF	357
34	#FFFFFF	357
35	#FFFFFF	357
36	#FFFFFF	27
37	#FFFFFF	357
38	#FFFFFF	357
39	#FFFFFF	47
40	#FFFFFF	357
41	#FFFFFF	47
42	#FFFFFF	47
43	#FFFFFF	47
44	#FFFFFF	47
45	#FFFFFF	5
46	#FFFFFF	27
47	#FFFFFF	27
48	#FFFFFF	27
49	#FFFFFF	175
50	#FFFFFF	175
52	#FFFFFF	27
53	#FFFFFF	27
54	#FFFFFF	175
55	#FFFFFF	175
56	#FFFFFF	175
57	#FFFFFF	175
58	#FFFFFF	440
59	#FFFFFF	440
60	#FFFFFF	440
61	#FFFFFF	440
62	#FFFFFF	440
63	#FFFFFF	175
64	#FFFFFF	534
65	#FFFFFF	175
66	#FFFFFF	175
67	#FFFFFF	175
68	#FFFFFF	431
69	#FFFFFF	431
70	#FFFFFF	431
71	#FFFFFF	311
72	#FFFFFF	311
73	#FFFFFF	357
74	#FFFFFF	357
75	#DA4F8B	53
76	#FFFFFF	357
77	#FFFFFF	357
78	#FFFFFF	357
79	#FFFFFF	357
80	#FFFFFF	357
81	#FFFFFF	357
82	#FFFFFF	357
83	#FFFFFF	357
84	#FFFFFF	357
85	#FFFFFF	357
86	#DA4F8B	53
87	#FFFFFF	357
88	#FFFFFF	357
89	#FFFFFF	357
90	#FFFFFF	47
91	#FFFFFF	47
92	#FFFFFF	47
93	#FFFFFF	47
94	#FFFFFF	5
95	#FFFFFF	5
96	#FFFFFF	5
97	#FFFFFF	27
98	#FFFFFF	27
99	#FFFFFF	175
100	#FFFFFF	175
101	#FFFFFF	175
103	#FFFFFF	27
104	#FFFFFF	27
105	#FFFFFF	175
106	#FFFFFF	175
107	#FFFFFF	175
108	#FFFFFF	175
109	#FFFFFF	440
110	#FFFFFF	175
111	#FFFFFF	440
112	#FFFFFF	440
113	#FFFFFF	440
114	#FFFFFF	175
115	#FFFFFF	534
116	#FFFFFF	175
117	#FFFFFF	175
118	#FFFFFF	431
119	#FFFFFF	311
120	#FFFFFF	431
121	#FFFFFF	431
122	#FFFFFF	311
123	#FFFFFF	357
124	#FFFFFF	357
125	#FFFFFF	357
126	#DA4F8B	53
127	#FFFFFF	86
128	#FFFFFF	86
129	#FFFFFF	357
130	#FFFFFF	357
131	#FFFFFF	357
132	#FFFFFF	357
133	#FFFFFF	357
134	#FFFFFF	357
135	#FFFFFF	357
136	#FFFFFF	357
137	#FFFFFF	27
138	#FFFFFF	357
139	#FFFFFF	357
140	#FFFFFF	357
141	#FFFFFF	47
142	#FFFFFF	47
143	#FFFFFF	47
144	#FFFFFF	47
145	#FFFFFF	5
146	#FFFFFF	5
147	#FFFFFF	27
148	#FFFFFF	27
149	#FFFFFF	175
150	#FFFFFF	175
