xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-11.45	-10.55	-3.380355505088	0	6050,0	2	1
-10.45	-9.55	-2.97244180460322	0	6050,0	3	1
-9.45	-8.55	-4.83076385552693	0	6050,0	4	1
-8.45	-7.55	-2.27671747390488	0	6050,0	5	1
-7.45	-6.55	-6.58601563523606	0	6050,0	6	1
-6.45	-5.55	-6.11826876883435	0	6050,0	7	1
-5.45	-4.55	-4.13285583264183	0	6050,0	8	1
-4.45	-3.55	-1.38970170764729	0	6050,0	9	1
-3.45	-2.55	-2.86238371839106	0	6050,0	10	1
-2.45	-1.55	-10	0	6050,0	11	1
-1.45	-0.55	-3.26767698825174	0	6050,0	12	1
-0.45	0.45	-6.9480717997991	0	6050,0	13	1
0.55	1.45	-3.77516705245229	0	6050,0	14	1
1.55	2.45	-5.88548718172686	0	6050,0	15	1
2.55	3.45	-4.80019216491243	0	6050,0	16	1
3.55	4.45	-7.89666768572302	0	6050,0	17	1
-45.45	-44.55	-4.87880508363541	0	6100,0	18	1
-44.45	-43.55	-2.50338472288946	0	6100,0	19	1
-43.45	-42.55	-1.56439708258724	0	6100,0	20	1
-42.45	-41.55	-5.00240206140543	0	6100,0	21	1
-41.45	-40.55	-3.43494780975674	0	6100,0	22	1
-40.45	-39.55	-2.64445123815347	0	6100,0	23	1
-39.45	-38.55	-1.44909813512687	0	6100,0	24	1
-38.45	-37.55	-0.0602699043542822	0	6100,0	25	1
-34.45	-33.55	-5.54177403153252	0	6100,0	29	4
-33.45	-32.55	-1.96401275276237	0	6100,0	30	4
-32.45	-31.55	-2.87111848713805	0	6100,0	31	4
-31.45	-30.55	-0.151111499323055	0	6100,0	32	4
-28.45	-27.55	-1.97798838275757	0	6100,0	35	6
-27.45	-26.55	-6.87994060357252	0	6100,0	36	6
-26.45	-25.55	-3.82757566493427	0	6100,0	37	6
-25.45	-24.55	-5.2421714635105	0	6100,0	38	6
-24.45	-23.55	-5.46490806655894	0	6100,0	39	6
-23.45	-22.55	-1.29143555924357	0	6100,0	40	6
-22.45	-21.55	-2.15006332707342	0	6100,0	41	6
-21.45	-20.55	-0.516661571384898	0	6100,0	42	6
-20.45	-19.55	-0.30659038301961	0	6100,0	43	6
-19.45	-18.55	-1.47661265667991	0	6100,0	44	6
-18.45	-17.55	-1.8801589727912	0	6100,0	45	6
-17.45	-16.55	-1.69672882910425	0	6100,0	46	6
-16.45	-15.55	-0.37166441018474	0	6100,0	47	6
-15.45	-14.55	-3.19692536140106	0	6100,0	48	6
-14.45	-13.55	-0.748132943180329	0	6100,0	49	6
-13.45	-12.55	-1.73166790409224	0	6100,0	50	6
-8.45	-7.55	-0.716687775691139	0	6100,0	55	10
-7.45	-6.55	-1.36917500109185	0	6100,0	56	10
-5.45	-4.55	-0.216185526488186	0	6100,0	58	11
-4.45	-3.55	-0.0161593221819452	0	6100,0	59	11
-2.45	-1.55	-1.06345809494694	0	6100,0	61	12
-1.45	-0.55	-0.144123684325457	0	6100,0	62	12
0.55	1.45	-1.5255273616631	0	6100,0	64	13
1.55	2.45	-1.30628466611346	0	6100,0	65	13
2.55	3.45	-3.67995807311001	0	6100,0	66	13
3.55	4.45	-0.296545398960563	0	6100,0	67	13
4.55	5.45	-2.70559461938245	0	6100,0	68	13
-45.45	-44.55	-4.87880508363541	0	6100,50	69	13
-44.45	-43.55	-2.50338472288946	0	6100,50	70	13
-43.45	-42.55	-1.56439708258724	0	6100,50	71	13
-42.45	-41.55	-5.00240206140543	0	6100,50	72	13
-41.45	-40.55	-3.43494780975674	0	6100,50	73	13
-40.45	-39.55	-2.64445123815347	0	6100,50	74	13
-39.45	-38.55	-1.44909813512687	0	6100,50	75	13
-38.45	-37.55	-0.0602699043542822	0	6100,50	76	13
-34.45	-33.55	-5.54177403153252	0	6100,50	80	16
-33.45	-32.55	-1.96401275276237	0	6100,50	81	16
-32.45	-31.55	-2.87111848713805	0	6100,50	82	16
-31.45	-30.55	-0.151111499323055	0	6100,50	83	16
-28.45	-27.55	-1.97798838275757	0	6100,50	86	18
-27.45	-26.55	-6.87994060357252	0	6100,50	87	18
-26.45	-25.55	-3.82757566493427	0	6100,50	88	18
-25.45	-24.55	-5.2421714635105	0	6100,50	89	18
-24.45	-23.55	-5.46490806655894	0	6100,50	90	18
-23.45	-22.55	-1.29143555924357	0	6100,50	91	18
-22.45	-21.55	-2.15006332707342	0	6100,50	92	18
-21.45	-20.55	-0.516661571384898	0	6100,50	93	18
-20.45	-19.55	-0.30659038301961	0	6100,50	94	18
-19.45	-18.55	-1.47661265667991	0	6100,50	95	18
-18.45	-17.55	-1.8801589727912	0	6100,50	96	18
-17.45	-16.55	-1.69672882910425	0	6100,50	97	18
-16.45	-15.55	-0.37166441018474	0	6100,50	98	18
-15.45	-14.55	-3.19692536140106	0	6100,50	99	18
-14.45	-13.55	-0.748132943180329	0	6100,50	100	18
-13.45	-12.55	-1.73166790409224	0	6100,50	101	18
-8.45	-7.55	-0.716687775691139	0	6100,50	106	22
-7.45	-6.55	-1.36917500109185	0	6100,50	107	22
-5.45	-4.55	-0.216185526488186	0	6100,50	109	23
-4.45	-3.55	-0.0161593221819452	0	6100,50	110	23
-2.45	-1.55	-1.06345809494694	0	6100,50	112	24
-1.45	-0.55	-0.144123684325457	0	6100,50	113	24
0.55	1.45	-1.5255273616631	0	6100,50	115	25
1.55	2.45	-1.30628466611346	0	6100,50	116	25
2.55	3.45	-3.67995807311001	0	6100,50	117	25
3.55	4.45	-0.296545398960563	0	6100,50	118	25
4.55	5.45	-2.70559461938245	0	6100,50	119	25
-44.45	-43.55	-2.49333973883041	0	6150,50	120	25
-43.45	-42.55	-2.0203520111805	0	6150,50	121	25
-42.45	-41.55	-1.13814036773376	0	6150,50	122	25
-41.45	-40.55	-0.354194872690746	0	6150,50	123	25
-40.45	-39.55	-1.21151242520854	0	6150,50	124	25
