group	x	y	clickSelects
824	-12.25	-0.25	651
824	-12.25	0.25	651
824	-11.75	0.25	651
824	-11.75	-0.25	651
824	-12.25	-0.25	651
371	-11.75	0.25	317
371	-11.75	0.75	317
371	-10.25	2.25	317
371	-9.75	2.25	317
371	-9.25	1.75	317
371	-9.25	1.25	317
371	-10.25	1.25	317
371	-11.25	0.25	317
371	-11.75	0.25	317
56	-9.75	2.25	128
56	-9.75	2.75	128
56	-7.25	5.25	128
56	-6.75	5.25	128
56	-6.75	4.75	128
56	-7.25	4.25	128
56	-7.25	3.75	128
56	-3.75	0.25	128
56	-3.75	-0.25	128
56	-8.25	-0.25	128
56	-8.25	0.25	128
56	-7.75	0.75	128
56	-7.75	1.25	128
56	-8.25	1.25	128
56	-8.75	0.75	128
56	-8.75	-0.25	128
56	-11.25	-0.25	128
56	-11.25	0.25	128
56	-10.25	1.25	128
56	-9.25	1.25	128
56	-9.25	1.75	128
56	-9.75	2.25	128
57	-8.75	2.25	128
57	-8.75	2.75	128
57	-8.25	2.75	128
57	-8.25	2.25	128
57	-8.75	2.25	128
134	-6.75	5.25	169
134	-6.75	5.75	169
134	-0.25	12.25	169
134	0.25	12.25	169
134	0.25	11.75	169
134	-0.25	11.25	169
134	-0.25	10.75	169
134	0.75	10.75	169
134	0.75	10.25	169
134	0.25	9.75	169
134	0.25	9.25	169
134	0.75	8.75	169
134	0.75	8.25	169
134	-0.25	8.25	169
134	-0.75	7.75	169
134	-0.75	6.75	169
134	-2.25	5.25	169
134	-4.25	5.25	169
134	-4.25	4.75	169
134	-3.75	4.25	169
134	-3.75	3.25	169
134	-3.25	2.75	169
134	-3.25	2.25	169
134	-4.25	1.25	169
134	-4.75	1.25	169
134	-7.25	3.75	169
134	-7.25	4.25	169
134	-6.75	4.75	169
134	-6.75	5.25	169
818	0.25	12.25	65
818	0.25	12.75	65
818	0.75	12.75	65
818	1.75	11.75	65
818	2.75	11.75	65
818	3.75	10.75	65
818	3.75	9.75	65
818	4.75	8.75	65
818	4.75	0.25	65
818	4.25	-0.25	65
818	1.75	-0.25	65
818	1.75	0.75	65
818	1.25	0.75	65
818	1.25	-0.25	65
818	-3.25	-0.25	65
818	-3.25	0.25	65
818	-2.75	0.75	65
818	-1.75	0.75	65
818	-1.25	1.25	65
818	-0.25	1.25	65
818	-0.25	1.75	65
818	-2.25	3.75	65
818	-2.75	3.75	65
818	-2.75	3.25	65
818	-2.25	2.75	65
818	-2.25	2.25	65
818	-2.75	1.75	65
818	-3.25	1.75	65
818	-3.25	2.75	65
818	-3.75	3.25	65
818	-3.75	4.25	65
818	-4.25	4.75	65
818	-4.25	5.25	65
818	-2.25	5.25	65
818	-0.75	6.75	65
818	-0.75	7.75	65
818	-0.25	8.25	65
818	0.75	8.25	65
818	0.75	8.75	65
818	0.25	9.25	65
818	0.25	9.75	65
818	0.75	10.25	65
818	0.75	10.75	65
818	-0.25	10.75	65
818	-0.25	11.25	65
818	0.25	11.75	65
818	0.25	12.25	65
819	4.25	15.25	65
819	4.25	15.75	65
819	4.75	15.75	65
819	4.75	15.25	65
819	4.25	15.25	65
820	4.25	12.25	65
820	4.25	12.75	65
820	4.75	12.75	65
820	4.75	12.25	65
820	4.25	12.25	65
821	3.75	0.75	65
821	3.75	1.25	65
821	4.25	1.25	65
821	4.25	0.75	65
821	3.75	0.75	65
427	0.75	12.75	358
427	0.75	13.25	358
427	4.25	16.75	358
427	4.75	16.75	358
427	4.75	16.25	358
427	4.25	15.75	358
427	4.25	15.25	358
427	4.75	14.75	358
427	4.75	13.25	358
427	4.25	12.75	358
427	4.25	12.25	358
427	4.75	11.75	358
427	4.75	11.25	358
427	4.25	11.25	358
427	3.75	11.75	358
427	1.75	11.75	358
427	0.75	12.75	358
866	-8.75	2.25	687
866	-8.75	2.75	687
866	-8.25	2.75	687
866	-8.25	2.25	687
866	-8.75	2.25	687
340	-8.75	0.25	294
340	-8.75	0.75	294
340	-8.25	1.25	294
340	-7.75	1.25	294
340	-7.75	0.75	294
340	-8.25	0.25	294
340	-8.75	0.25	294
336	3.25	11.25	290
336	3.25	11.75	290
336	3.75	11.75	290
336	4.75	10.75	290
336	4.75	9.25	290
336	4.25	9.25	290
336	3.75	9.75	290
336	3.75	10.75	290
336	3.25	11.25	290
359	-2.75	3.25	306
359	-2.75	3.75	306
359	-2.25	3.75	306
359	-1.25	2.75	306
359	-1.25	2.25	306
359	-1.75	1.75	306
359	-2.25	1.75	306
359	-2.25	2.75	306
359	-2.75	3.25	306
872	-4.25	0.75	692
872	-4.25	1.25	692
872	-3.75	1.25	692
872	-3.75	0.75	692
872	-4.25	0.75	692
265	-3.75	1.25	249
265	-3.75	1.75	249
265	-2.25	1.75	249
265	-2.25	1.25	249
265	-3.25	0.25	249
265	-3.75	0.25	249
265	-3.75	1.25	249
717	-2.25	0.75	574
717	-2.25	1.25	574
717	-1.75	1.75	574
717	-1.25	1.75	574
717	-1.25	1.25	574
717	-1.75	0.75	574
717	-2.25	0.75	574
331	-1.25	1.75	286
331	-1.25	2.25	286
331	-0.75	2.25	286
331	-0.25	1.75	286
331	-0.25	1.25	286
331	-0.75	1.25	286
331	-1.25	1.75	286
510	1.25	0.25	416
510	1.25	0.75	416
510	1.75	0.75	416
510	1.75	0.25	416
510	1.25	0.25	416
731	3.75	0.75	587
731	3.75	1.25	587
731	4.25	1.25	587
731	4.25	0.75	587
731	3.75	0.75	587
