group	label	showSelected1
1	Cluster 2: 18/565 pixels shown, logFC -1.7 to 0.8, log10(p) 0.0 to 3.6	2
1	Cluster 3: 350/410 pixels shown, logFC -0.9 to 1.2, log10(p) 0.0 to 2.7	3
1	Cluster 4: 223/1624 pixels shown, logFC -1.5 to 1.0, log10(p) 0.0 to 3.2	4
1	Cluster 6: 23/424 pixels shown, logFC -1.1 to 1.1, log10(p) 0.0 to 1.9	6
1	Cluster 12: 59/1328 pixels shown, logFC -1.3 to 1.0, log10(p) 0.0 to 3.8	12
1	Cluster 17: 7/7 pixels shown, logFC 0.2 to 1.8, log10(p) 0.3 to 1.9	17
1	Cluster 19: 763/1536 pixels shown, logFC -1.1 to 1.4, log10(p) 0.0 to 2.6	19
1	Cluster 21: 330/668 pixels shown, logFC -0.8 to 1.4, log10(p) 0.0 to 3.2	21
1	Cluster 32: 18/1637 pixels shown, logFC -1.2 to 1.4, log10(p) 0.0 to 3.9	32
1	Cluster 42: 267/728 pixels shown, logFC -1.6 to 0.7, log10(p) 0.0 to 2.5	42
1	Cluster 55: 39/74 pixels shown, logFC -1.4 to 1.1, log10(p) 0.0 to 2.4	55
1	Cluster 60: 4/4 pixels shown, logFC 0.4 to 2.2, log10(p) 0.2 to 1.3	60
1	Cluster 64: 25/252 pixels shown, logFC -0.5 to 1.6, log10(p) 0.0 to 2.8	64
1	Cluster 66: 250/250 pixels shown, logFC -1.3 to 0.9, log10(p) 0.0 to 2.3	66
1	Cluster 91: 86/180 pixels shown, logFC -0.9 to 1.2, log10(p) 0.0 to 1.9	91
1	Cluster 103: 670/875 pixels shown, logFC -1.4 to 0.8, log10(p) 0.0 to 2.8	103
1	Cluster 104: 236/277 pixels shown, logFC -1.1 to 1.1, log10(p) 0.0 to 2.7	104
1	Cluster 106: 61/223 pixels shown, logFC -0.9 to 1.5, log10(p) 0.0 to 2.9	106
1	Cluster 110: 8/207 pixels shown, logFC -1.1 to 1.2, log10(p) 0.0 to 4.2	110
1	Cluster 120: 202/220 pixels shown, logFC -0.7 to 1.2, log10(p) 0.0 to 3.2	120
1	Cluster 130: 1/175 pixels shown, logFC -1.0 to 0.9, log10(p) 0.0 to 2.2	130
1	Cluster 131: 521/743 pixels shown, logFC -1.5 to 1.0, log10(p) 0.0 to 2.2	131
1	Cluster 135: 95/116 pixels shown, logFC -0.3 to 1.1, log10(p) 0.0 to 1.8	135
1	Cluster 163: 11/11 pixels shown, logFC 0.3 to 2.4, log10(p) 0.3 to 1.5	163
1	Cluster 184: 3/3 pixels shown, logFC 0.5 to 1.8, log10(p) 0.2 to 1.3	184
1	Cluster 190: 35/35 pixels shown, logFC -0.7 to 0.2, log10(p) 0.0 to 1.3	190
1	Cluster 195: 26/26 pixels shown, logFC -0.2 to 1.0, log10(p) 0.0 to 2.3	195
1	Cluster 196: 3/3 pixels shown, logFC -1.0 to -0.9, log10(p) 0.7 to 0.9	196
1	Cluster 197: 36/36 pixels shown, logFC -0.9 to 0.2, log10(p) 0.0 to 1.6	197
1	Cluster 200: 80/80 pixels shown, logFC -0.9 to 1.2, log10(p) 0.0 to 1.6	200
1	Cluster 205: 11/39 pixels shown, logFC -1.2 to 0.2, log10(p) 0.1 to 1.0	205
1	Cluster 224: 41/41 pixels shown, logFC -0.0 to 1.2, log10(p) 0.0 to 1.8	224
1	Cluster 225: 6/230 pixels shown, logFC -1.4 to 0.4, log10(p) 0.0 to 3.1	225
1	Cluster 228: 8/8 pixels shown, logFC -1.2 to -0.2, log10(p) 0.1 to 1.1	228
1	Cluster 242: 16/37 pixels shown, logFC -1.5 to -0.0, log10(p) 0.0 to 3.2	242
1	Cluster 248: 190/190 pixels shown, logFC -1.2 to 0.7, log10(p) 0.0 to 2.1	248
1	Cluster 255: 14/17 pixels shown, logFC 0.1 to 0.8, log10(p) 0.1 to 1.5	255
1	Cluster 275: 2/2 pixels shown, logFC -1.8 to -1.0, log10(p) 1.0 to 1.2	275
1	Cluster 276: 28/28 pixels shown, logFC -0.2 to 1.4, log10(p) 0.0 to 1.6	276
1	Cluster 277: 3/7 pixels shown, logFC -1.5 to -0.1, log10(p) 0.1 to 1.5	277
1	Cluster 279: 14/14 pixels shown, logFC -0.5 to 0.6, log10(p) 0.1 to 1.0	279
1	Cluster 284: 7/9 pixels shown, logFC -0.9 to -0.2, log10(p) 0.2 to 1.4	284
1	Cluster 303: 9/9 pixels shown, logFC 0.2 to 1.2, log10(p) 0.2 to 1.9	303
1	Cluster 307: 4/4 pixels shown, logFC 0.6 to 1.0, log10(p) 0.5 to 1.3	307
1	Cluster 326: 15/32 pixels shown, logFC -0.1 to 0.9, log10(p) 0.0 to 1.8	326
1	Cluster 334: 2/2 pixels shown, logFC 1.1 to 1.3, log10(p) 0.7 to 1.6	334
1	Cluster 335: 8/8 pixels shown, logFC 0.1 to 1.2, log10(p) 0.1 to 1.1	335
1	Cluster 374: 6/19 pixels shown, logFC 0.2 to 1.1, log10(p) 0.3 to 2.2	374
1	Cluster 389: 2/7 pixels shown, logFC 0.2 to 0.9, log10(p) 0.1 to 1.0	389
1	Cluster 391: 5/12 pixels shown, logFC -0.9 to -0.2, log10(p) 0.2 to 1.1	391
1	Cluster 401: 10/10 pixels shown, logFC -1.2 to 0.0, log10(p) 0.0 to 1.3	401
1	Cluster 418: 1/1 pixels shown, logFC -2.0 to -2.0, log10(p) 1.5 to 1.5	418
1	Cluster 428: 2/2 pixels shown, logFC 1.4 to 2.4, log10(p) 1.2 to 2.9	428
1	Cluster 438: 1/1 pixels shown, logFC -2.5 to -2.5, log10(p) 3.1 to 3.1	438
1	Cluster 441: 4/4 pixels shown, logFC -1.5 to -0.8, log10(p) 0.5 to 1.1	441
1	Cluster 445: 6/6 pixels shown, logFC 0.2 to 0.9, log10(p) 0.2 to 1.1	445
1	Cluster 481: 6/6 pixels shown, logFC -0.9 to -0.2, log10(p) 0.1 to 1.1	481
1	Cluster 496: 2/2 pixels shown, logFC -1.3 to -0.9, log10(p) 1.1 to 2.0	496
1	Cluster 509: 9/9 pixels shown, logFC -1.4 to -0.4, log10(p) 0.4 to 2.0	509
1	Cluster 516: 1/1 pixels shown, logFC 1.4 to 1.4, log10(p) 0.8 to 0.8	516
1	Cluster 517: 6/6 pixels shown, logFC 0.3 to 0.7, log10(p) 0.2 to 0.6	517
